Genotype	Pollination	Season	Period	Repetition	Esp_Total	Esp_Epi_Par_Col	Esp_Par	Esp_Par_Col_End	Area_celulas_1	Area_celulas_2	Area_celulas_3
Italiano	Mechanics	Winter	14	1	750.4479	23.9328	703.1800	22.1152	15753.6340	185724.1250	1279.3037
Italiano	Mechanics	Winter	14	2	678.7256	27.7454	624.0962	30.1161	13130.0724	158200.2330	1426.5344
Italiano	Mechanics	Winter	14	3	630.2930	71.5105	489.4463	66.8969	10807.3323	135964.1940	1796.8319
Italiano	Mechanics	Winter	14	4	356.2656	39.2155	282.2815	34.7181	14252.5310	126535.8260	1574.6989
Italiano	Mechanics	Winter	21	1	1790.7193	46.5618	1709.6937	30.5498	15051.1250	247287.5450	1772.5870
Italiano	Mechanics	Winter	21	3	2449.8273	73.9324	2325.5767	48.4426	13362.3477	279404.8300	2097.6509
Italiano	Mechanics	Winter	21	4	4600.8857	109.5726	4341.1247	167.2424	17527.1180	259560.9410	1862.0842
Italiano	Mechanics	Winter	28	1	3445.7623	66.0599	3272.0993	99.7469	22289.3360	359085.0200	4188.4174
Italiano	Mechanics	Winter	28	2	5128.9173	69.2037	4885.6153	140.1468	34973.1220	525345.9700	6657.2279
Italiano	Mechanics	Winter	28	3	4637.7490	104.6928	4379.1317	121.5164	30717.0570	453503.2800	4327.9015
Italiano	Mechanics	Winter	28	4	4586.4843	92.2716	4367.3633	144.1745	25093.3890	434717.2000	4543.7131
Italiano	Mechanics	Winter	35	2	5172.2820	99.6357	4900.3620	193.0206	25669.2850	569941.4600	9430.4499
Italiano	Mechanics	Winter	35	3	5115.6097	81.8798	4810.0543	229.2828	28403.8940	567702.5900	5097.7585
Italiano	Mechanics	Winter	35	4	4713.9273	138.8173	4305.5213	260.2795	33118.8190	586913.5400	5094.4662
Italiano	Mechanics	Winter	42	1	7035.9553	92.9816	6753.5720	208.1045	34003.6150	552137.8000	6275.2932
Italiano	Mechanics	Winter	42	3	5826.2423	93.9625	5524.8337	168.2326	29772.9940	558650.9800	7939.2258
Italiano	Mechanics	Winter	42	4	7463.5263	109.9824	7141.7010	178.7763	20968.7270	560519.0700	7050.8368
Italiano	Mechanics	Winter	49	1	6409.0143	98.3977	6204.7080	115.6986	28283.5670	556498.8600	15854.5063
Italiano	Mechanics	Winter	49	2	6169.0207	103.8056	5925.9497	98.0386	34538.8040	699127.7500	6558.1526
Italiano	Mechanics	Winter	49	3	6646.9803	80.7377	6417.1443	92.2716	27646.0090	644867.7900	7860.5044
Italiano	Mechanics	Winter	49	4	5963.4457	106.2483	5684.6047	158.7434	24288.8110	915865.3300	7871.8788
Italiano	Mechanics	Winter	56	1	7191.5097	109.5726	6918.0933	84.1979	32993.1040	697107.3400	7733.2927
Italiano	Mechanics	Winter	56	3	6611.1810	103.8056	6386.3740	109.5726	18609.4680	699529.7400	5632.3477
Italiano	Mechanics	Winter	56	4	6789.9253	111.9216	6616.2563	92.2716	21939.4290	545180.2700	7710.8422
Italiano	Mechanics	Summer	14	1	2075.4243	48.9411	1976.4337	138.2165	14244.7490	284561.5300	1522.6528
Italiano	Mechanics	Summer	14	2	4631.6077	109.5726	4285.7783	150.1813	22194.1514	397776.6400	1630.1094
Italiano	Mechanics	Summer	14	3	2139.3340	87.7627	2012.5840	143.8290	20310.2180	466260.0720	2504.7292
Italiano	Mechanics	Summer	14	4	3771.9493	80.7377	3565.4367	144.5843	18973.1450	330859.2510	4880.1514
Italiano	Mechanics	Summer	21	1	4211.5520	98.0386	3952.6200	191.1923	18789.3610	567681.2700	4798.4361
Italiano	Mechanics	Summer	21	2	5359.4687	86.5047	5198.6310	92.2716	26333.1820	526444.5900	6088.2159
Italiano	Mechanics	Summer	21	3	4089.4660	109.5726	3714.4180	253.9527	23228.6100	672459.2600	3815.2800
Italiano	Mechanics	Summer	21	4	3860.2053	121.5164	3478.7133	259.5140	21802.0400	538629.6400	6062.7733
Italiano	Mechanics	Summer	28	1	5685.8167	98.0386	5348.4307	219.3509	22520.4130	500397.5100	6616.2205
Italiano	Mechanics	Summer	28	3	6391.2623	80.7377	6091.0637	219.8661	28141.0880	755021.7300	9651.6488
Italiano	Mechanics	Summer	28	4	6077.3640	92.7489	5899.7743	104.5156	24048.7530	392537.6300	8475.6104
Italiano	Mechanics	Summer	35	1	6690.2407	115.3395	6396.0607	167.2424	27220.3730	545078.2940	9569.3345
Italiano	Mechanics	Summer	35	2	7447.7133	92.2716	7150.4233	237.1642	18203.5860	534284.1100	19711.5729
Italiano	Mechanics	Summer	35	3	7377.1647	74.9707	7066.2183	207.9703	27427.5040	525636.9400	8298.1135
Italiano	Mechanics	Summer	35	4	6835.5303	80.7377	6667.7413	98.4485	23403.4140	456016.9500	4888.8317
Italiano	Mechanics	Summer	42	1	6817.7020	86.5047	6532.5097	99.1807	22446.1820	468699.8930	6338.4505
Italiano	Mechanics	Summer	42	2	7336.5273	161.7370	7027.7993	186.1325	27026.4110	690358.1400	11635.8568
Italiano	Mechanics	Summer	42	3	7436.5143	190.8750	7061.0483	190.8913	21636.2150	615080.0800	15072.6761
Italiano	Mechanics	Summer	42	4	6667.7213	92.2716	6421.2267	128.0689	26964.7510	677310.1600	20622.7114
Italiano	Mechanics	Summer	49	1	6282.3900	98.0386	6033.5337	185.1026	26415.1950	1054267.6200	20314.4076
Italiano	Mechanics	Summer	49	2	5978.3927	121.5164	5693.7520	138.4075	27308.9730	767596.6200	11608.9166
Italiano	Mechanics	Summer	49	3	7101.7807	98.5159	6939.4773	81.2150	33513.3250	610175.1200	6924.2236
Italiano	Mechanics	Summer	56	1	8497.9383	71.7524	8348.1500	105.2255	20307.8230	786694.8600	8286.1411
Italiano	Mechanics	Summer	56	2	9594.9237	167.5618	9212.2177	190.8194	29456.3110	874106.8000	12536.2179
Italiano	Mechanics	Summer	56	3	6434.5730	262.4317	6015.8220	201.8442	19549.9390	906381.2000	10241.0150
Italiano	Mechanics	Summer	56	4	6027.5217	86.5047	5831.3793	110.0499	26179.3290	598723.4600	13515.0020
Italiano	Natural	Winter	14	1	1269.3830	43.6083	1196.7343	28.2713	15357.3320	155344.6910	1047.3289
Italiano	Natural	Winter	14	2	699.3137	73.9220	590.7649	35.4904	17106.8691	293992.9100	565.7192
Italiano	Natural	Winter	14	3	620.7847	57.6698	516.8732	57.7975	10839.3594	259910.5600	817.7486
Italiano	Natural	Winter	21	1	2685.2730	76.1853	2556.4917	57.1859	22555.7340	286350.0100	2494.5524
Italiano	Natural	Winter	21	2	1827.3790	64.5902	1681.4030	62.2834	13206.7007	207243.0060	1323.9026
Italiano	Natural	Winter	21	3	2302.5827	73.9220	2154.7523	71.5105	17157.7537	481884.7100	1293.0726
Italiano	Natural	Winter	21	4	2147.1427	69.4275	1959.9297	122.5472	21960.6810	306873.0400	2198.2232
Italiano	Natural	Winter	28	1	4648.5073	98.0386	4358.4903	185.3718	26705.2390	411931.8900	3088.1087
Italiano	Natural	Winter	28	2	5108.0167	334.7852	4622.0503	144.4621	35828.2860	20980.7007	1116.4723
Italiano	Natural	Winter	28	3	3601.1543	99.1920	3379.5400	108.5078	30262.6860	584308.3200	4057.3144
Italiano	Natural	Winter	28	4	4142.1327	105.2255	3938.3300	121.4656	32505.8070	544503.2600	5431.8027
Italiano	Natural	Winter	35	1	5256.0463	92.2716	5002.4587	127.6028	26229.6160	542754.0400	5840.3780
Italiano	Natural	Winter	35	2	4959.1180	86.5047	4578.8770	282.9434	30427.3120	643633.4600	5705.9811
Italiano	Natural	Winter	35	4	7453.0810	144.1744	7148.2847	190.5979	22802.9740	496478.1800	8959.0162
Italiano	Natural	Winter	42	1	7202.3343	104.6928	6932.7037	139.4091	37660.7370	487720.2700	3656.5215
Italiano	Natural	Winter	42	2	5813.8307	123.3373	5529.6383	126.8735	27788.4870	697095.9900	4981.3223
Italiano	Natural	Winter	42	3	5160.0120	98.0386	4977.5127	69.2037	25801.5840	469065.0480	9322.9928
Italiano	Natural	Winter	42	4	4848.1217	69.9137	4535.4197	202.0841	22324.9570	728966.6000	12600.8713
Italiano	Natural	Winter	49	1	7734.3133	80.7377	7410.8190	242.4747	31834.7270	847037.8600	7191.2187
Italiano	Natural	Winter	49	2	7644.0377	104.0033	7258.8710	151.6059	30763.7520	793080.6600	5085.7856
Italiano	Natural	Winter	49	3	7481.5883	74.9707	7314.0990	98.0386	25134.0950	803121.9100	14914.3339
Italiano	Natural	Winter	49	4	5037.9777	74.9707	4760.1957	170.9288	28888.4970	709948.2900	6082.2299
