Root	Water	Rep	AF	MSC	MSF	MSR	MST	RMC	RMF	RMR	RAF	TCR	TAL	A	gs	Ci_Ca	LA_RM
A	a	1	390	7,4	4,89	6,4	18,69	0,4	0,26	0,34	0,21	13,66	0,57	6,2	0,11	0,74	60,94
A	a	2	337,02	5,83	4,18	7,2	17,21	0,34	0,24	0,42	0,2	10,71	0,46	7,5	0,171	0,79	46,81
A	a	3	369,74	5,1	3,2	7,54	15,84	0,32	0,2	0,48	0,23	7,75	0,31	10,9	0,194	0,73	49,04
A	a	4	357,81	4,45	3,8	8,5	16,75	0,27	0,23	0,51	0,21	9,75	0,4	8,3	0,151	0,74	42,1
A	a	5	300	4,12	3,98	6,5	14,6	0,28	0,27	0,45	0,21	4,84	0,2	7,2	0,156	0,78	46,15
A	a	6	427,38	6,36	5	8,39	19,75	0,32	0,25	0,42	0,22	15,63	0,64	8,8	0,153	0,73	50,94
A	a	7	331,34	6,65	4,36	10,68	21,69	0,31	0,2	0,49	0,15	18,98	0,94	9,3	0,188	0,76	31,02
A	a	8	415,49	7,33	5,75	9,9	22,98	0,32	0,25	0,43	0,18	21,04	0,96	6,4	0,09	0,67	41,97
A	a	9	400	4,6	4	8,3	16,9	0,27	0,24	0,49	0,24	10,06	0,4	8,8	0,16	0,74	48,19
A	b	1	318,81	5,29	3,08	7,6	15,97	0,33	0,19	0,48	0,2	8,1	0,33	9,7	0,168	0,72	41,95
A	b	2	489,63	7,75	4,9	7,14	19,79	0,39	0,25	0,36	0,25	15,76	0,57	10,7	0,234	0,77	68,58
A	b	3	358,05	6,15	5,07	4,9	16,12	0,38	0,31	0,3	0,22	8,43	0,32	9,7	0,197	0,76	73,07
A	b	4	560,43	4,9	2,6	4,3	11,8	0,42	0,22	0,36	0,47	-2,71	-0,07	8,1	0,207	0,8	130,33
A	b	5	321,56	4,3	3,14	3,9	11,34	0,38	0,28	0,34	0,28	-4,13	-0,14	9,2	0,179	0,75	82,45
A	b	6	483,51	8,7	3,45	3,77	15,92	0,55	0,22	0,24	0,3	7,99	0,26	9,1	0,202	0,78	128,25
A	b	7	392,59	4,74	3,6	4,65	12,99	0,36	0,28	0,36	0,3	0,72	0,02	6,3	0,129	0,77	84,43
A	b	8	334,72	4,8	4,23	8,06	17,09	0,28	0,25	0,47	0,2	10,52	0,43	8,4	0,176	0,77	41,53
A	b	9	480,63	10,9	5,6	8,5	25	0,44	0,22	0,34	0,19	24,1	1,01	10,5	0,206	0,75	56,54
B	a	1	424,63	6,4	3,37	5,19	14,96	0,43	0,23	0,35	0,28	12,71	0,39	9,8	0,192	0,75	81,82
B	a	2	404,75	6,47	2,28	7,3	16,05	0,4	0,14	0,45	0,25	15,22	0,5	10,2	0,205	0,75	55,45
B	a	3	458,55	5,64	3,45	7,13	16,22	0,35	0,21	0,44	0,28	15,6	0,48	8,6	0,151	0,72	64,31
B	a	4	412,72	4,88	2,2	6,35	13,43	0,36	0,16	0,47	0,31	8,86	0,26	8,1	0,157	0,75	65
B	a	5	360,81	6,76	2,78	5,4	14,94	0,45	0,19	0,36	0,24	12,66	0,42	9,1	0,144	0,7	66,82
B	a	6	386,27	4,5	1,4	8,45	14,35	0,31	0,1	0,59	0,27	11,22	0,36	8,8	0,189	0,77	45,71
B	a	7	384,18	4,22	3,88	11,7	19,8	0,21	0,2	0,59	0,19	22,72	0,86	9,3	0,156	0,71	32,84
B	a	8	367,42	4,7	2,76	9,68	17,14	0,27	0,16	0,56	0,21	17,57	0,63	10,1	0,211	0,76	37,96
B	a	9	378,41	5,43	2,15	8,19	15,77	0,34	0,14	0,52	0,24	14,59	0,49	8,8	0,14	0,7	46,2
B	b	1	376,26	6,8	4,4	6,06	17,26	0,39	0,25	0,35	0,22	12,25	0,47	7,8	0,157	0,76	62,09
B	b	2	364,27	5,26	2,65	5,7	13,61	0,39	0,19	0,42	0,27	3,76	0,13	9,6	0,212	0,78	63,91
B	b	3	354,85	5,4	3,68	7,1	16,18	0,33	0,23	0,44	0,22	9,94	0,38	9,2	0,24	0,81	49,98
B	b	4	472,26	5,4	2,85	3,34	11,59	0,47	0,25	0,29	0,41	-1,98	-0,05	8,3	0,216	0,81	141,4
B	b	5	324,12	5,2	2,6	3,21	11,01	0,47	0,24	0,29	0,29	-3,81	-0,12	7,9	0,152	0,75	100,97
B	b	6	398,73	6,59	3,77	4,14	14,5	0,45	0,26	0,29	0,27	6,02	0,2	10,4	0,2	0,74	96,31
B	b	7	477,89	4,28	2	4,41	10,69	0,4	0,19	0,41	0,45	-4,86	-0,13	8,9	0,173	0,75	108,37
B	b	8	376,26	6,15	3,4	7,3	16,85	0,36	0,2	0,43	0,22	11,39	0,43	8,5	0,175	0,77	51,54
B	b	9	364,24	5	3,86	4,66	13,52	0,37	0,29	0,34	0,27	3,52	0,12	9,2	0,15	0,71	78,16
