n	Tratamiento	n.hojas.inicial	n.hojas.final	c.hojas	Raiz.g	hojas.g	tallo.g	AFS.area.cm2	AFS.masa.g	AFS.cm2.mg	hojas.total.g	hojas.area.cm2	total.g	raiz/parte.area	raiz.total	hojas.total	tallo.total	raiz.area.hojas.mg.cm2
1	0%	5	12	7	0.0688	0.5192	0.1152	16	0.0071	2.253521127	0.5263	1186.028169	0.7103	0.107248636	0.096860481	0.740954526	0.162184992	0.05800874
2	0%	5	10	5	0.0248	0.3123	0.0426	16	0.0020	8	0.3143	2514.4	0.3817	0.069487251	0.064972491	0.823421535	0.111605973	0.009863188
3	0%	5	11	6	0.0351	0.5042	0.0948	4	0.0054	0.740740741	0.5096	377.4814815	0.6395	0.058074123	0.05488663	0.796872557	0.148240813	0.092984694
4	0%	5	12	7	0.0788	0.4920	0.1029	16	0.0052	3.076923077	0.4972	1529.846154	0.6789	0.131311448	0.116070113	0.732361172	0.151568714	0.051508447
5	0%	5	10	5	0.0428	0.3760	0.0691	16	0.0060	2.666666667	0.3820	1018.666667	0.4939	0.094879184	0.086657218	0.773435918	0.139906864	0.042015707
6	0%	5	12	7	0.0348	0.3674	0.0552	4	0.0055	0.727272727	0.3729	271.2	0.4629	0.081289418	0.075178224	0.805573558	0.119248218	0.128318584
7	0%	5	11	6	0.0424	0.2749	0.0670	16	0.0035	4.571428571	0.2784	1272.685714	0.3878	0.122756225	0.109334709	0.717895823	0.172769469	0.033315374
8	0%	5	12	7	0.0275	0.1926	0.0712	16	0.0062	2.580645161	0.1988	513.0322581	0.2975	0.101851852	0.092436975	0.668235294	0.239327731	0.053602867
9	0%	5	12	7	0.0514	0.4579	0.1053	16	0.0021	7.619047619	0.4600	3504.761905	0.6167	0.090925172	0.083346846	0.745905627	0.170747527	0.014665761
10	0%	5	12	7	0.0563	0.4228	0.0959	16	0.0107	1.495327103	0.4335	648.2242991	0.5857	0.106346808	0.096124296	0.740140003	0.163735701	0.086852653
11	0%	5	10	5	0.0607	0.4741	0.0860	16	0.0083	1.927710843	0.4824	929.9277108	0.6291	0.106790992	0.096487045	0.766809728	0.136703227	0.065273891
12	0%	5	12	7	0.0954	0.4723	0.0823	16	0.0038	4.210526316	0.4761	2004.631579	0.6538	0.170845272	0.145916182	0.728204344	0.125879474	0.047589792
