;Tratamiento;c.hojas
1;0%;9
2;0%;2
3;0%;4
4;0%;0
5;0%;5
6;0%;0
7;0%;9
8;0%;NA
9;0%;0
10;0%;0
11;0%;0
12;0%;1
13;0%;7
14;0%;1
15;25%;NA
16;25%;6
17;25%;0
18;25%;1
19;25%;6
20;25%;NA
21;25%;1
22;25%;0
23;25%;8
24;25%;0
25;25%;4
26;25%;0
27;25%;4
28;25%;6
29;50%;7
30;50%;5
31;50%;6
32;50%;9
33;50%;5
34;50%;1
35;50%;9
36;50%;0
37;50%;0
38;50%;0
39;50%;4
40;50%;7
41;50%;4
42;50%;0
43;75%;9
44;75%;5
45;75%;0
46;75%;0
47;75%;9
48;75%;3
49;75%;2
50;75%;2
51;75%;4
52;75%;0
53;75%;9
54;75%;0
55;75%;4
56;75%;3
57;100%;NA
58;100%;NA
59;100%;NA
60;100%;0
61;100%;0
62;100%;0
63;100%;0
64;100%;1
65;100%;3
66;100%;0
67;100%;0
68;100%;1
69;100%;2
70;100%;4
