;Tratamiento;c.hojas
1;0%;7
2;0%;5
3;0%;6
4;0%;7
5;0%;5
6;0%;7
7;0%;6
8;0%;7
9;0%;7
10;0%;7
11;0%;5
12;0%;7
13;0%;4
14;0%;6
15;25%;4
16;25%;6
17;25%;4
18;25%;7
19;25%;5
20;25%;4
21;25%;5
22;25%;6
23;25%;5
24;25%;1
25;25%;5
26;25%;8
27;25%;7
28;25%;5
29;50%;4
30;50%;6
31;50%;3
32;50%;6
33;50%;6
34;50%;4
35;50%;5
36;50%;3
37;50%;3
38;50%;5
39;50%;4
40;50%;4
41;50%;5
42;50%;6
43;75%;1
44;75%;5
45;75%;3
46;75%;1
47;75%;4
48;75%;3
49;75%;2
50;75%;2
51;75%;4
52;75%;2
53;75%;5
54;75%;3
55;75%;4
56;75%;3
57;100%;1
58;100%;3
59;100%;1
60;100%;5
61;100%;1
62;100%;2
63;100%;3
64;100%;1
65;100%;3
66;100%;3
67;100%;3
68;100%;1
69;100%;2
70;100%;4
