Tratamiento	c.hojas
0%	7
0%	5
0%	6
0%	7
0%	5
0%	7
0%	6
0%	7
0%	7
0%	7
0%	5
0%	7
0%	4
0%	6
25%	4
25%	6
25%	4
25%	7
25%	5
25%	4
25%	5
25%	6
25%	5
25%	1
25%	5
25%	8
25%	7
25%	5
50%	4
50%	6
50%	3
50%	6
50%	6
50%	4
50%	5
50%	3
50%	3
50%	5
50%	4
50%	4
50%	5
50%	6
75%	1
75%	5
75%	3
75%	1
75%	4
75%	3
75%	2
75%	2
75%	4
75%	2
75%	5
75%	3
75%	4
75%	3
100%	1
100%	3
100%	1
100%	5
100%	1
100%	2
100%	3
100%	1
100%	3
100%	3
100%	3
100%	1
100%	2
100%	4
