Substratum	Treatment_2	TH	n	SL	RL	NL	SDM	LDM	RDM	TDM	SMR	LMR	RMR	RAB	RLR
Soil	3_Soil	Without	1	9.5	8	3	0.0168	0.016	0.0074	0.0402	0.41791	0.39801	0.18408	4.43243	0.4625
Soil	3_Soil	Without	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Soil	3_Soil	Without	3	8.25	7.875	3	0.01383	0.0153	0.0077	0.03683	0.37557	0.41538	0.20905	1.26118	0.50327
Soil	3_Soil	Without	1	11.5	10	2	0.0328	0.033	0.019	0.0848	0.38679	0.38915	0.22406	3.46316	0.57576
Soil	3_Soil	Without	1	9.5	9.5	3	0.0188	0.0223	0.0121	0.0532	0.35338	0.41917	0.22744	3.39669	0.5426
Soil	3_Soil	Without	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Soil	3_Soil	Without	1	11	10.6	3	0.0216	0.0233	0.0125	0.0574	0.37631	0.40592	0.21777	3.592	0.53648
Soil	3_Soil	Without	3	9.2	8.833	3	0.01483	0.01507	0.0079	0.0378	0.39242	0.39859	0.20899	1.2616	0.52434
Soil	3_Soil	Without	2	9.25	9	3	0.0117	0.01175	0.006	0.02945	0.39728	0.39898	0.20374	1.95417	0.51064
Soil	3_Soil	Without	2	11.75	11.1	3	0.0226	0.0223	0.0132	0.0581	0.38898	0.38382	0.22719	1.70076	0.59193
Soil	3_Soil	Without	2	11.1	9.25	3	0.03015	0.0321	0.01365	0.0759	0.39723	0.42292	0.17984	2.28022	0.42523
Soil	3_Soil	Without	1	10	6.5	2	0.0214	0.0233	0.0115	0.0562	0.38078	0.41459	0.20463	3.88696	0.49356
Soil	3_Soil	Without	2	9.3	5.5	3	0.01265	0.01	0.0039	0.02655	0.47646	0.37665	0.14689	2.90385	0.39
Soil	3_Soil	Without	1	13	8.5	3	0.0471	0.0469	0.0192	0.1132	0.41608	0.41431	0.16961	4.89583	0.40938
Soil	3_Soil	Without	2	11.25	10.35	4	0.01845	0.0216	0.0105	0.05055	0.36499	0.4273	0.20772	1.90714	0.48611
Soil	3_Soil	Without	3	12.5	9.233	5	0.02337	0.01817	0.0083	0.04983	0.4689	0.36455	0.16656	1.66801	0.45688
Soil	3_Soil	Without	2	9.65	8.85	2	0.0141	0.0158	0.008	0.0379	0.37203	0.41689	0.21108	1.86875	0.50633
Soil	3_Soil	Without	1	11	9	3	0.0234	0.0254	0.0163	0.0651	0.35945	0.39017	0.25038	2.99387	0.64173
Soil	3_Soil	Without	1	10.5	10	3	0.0243	0.032	0.0146	0.0709	0.34274	0.45134	0.20592	3.85616	0.45625
Soil	3_Soil	Without	2	13.5	10.75	5	0.0349	0.03075	0.0148	0.08045	0.43381	0.38222	0.18397	2.21791	0.4813
